Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 15:19:34,2019-03-27 15:21:51,2m - 17.806s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 15:19:34,2019-03-27 15:20:02,27.595s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 15:19:35,2019-03-27 15:19:57,21.713s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 15:19:57,2019-03-27 15:20:02,5.036s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 15:20:02,2019-03-27 15:21:51,1m - 49.734s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 15:20:02,2019-03-27 15:20:15,12.798s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 15:20:15,2019-03-27 15:20:18,2.945s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 15:20:18,2019-03-27 15:20:19,1.431s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 15:20:19,2019-03-27 15:20:21,1.471s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 15:20:21,2019-03-27 15:21:51,1m - 30.769s,ERROR
