Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 18:44:32,2019-03-27 18:47:30,2m - 57.877s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 18:44:33,2019-03-27 18:44:59,25.522s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 18:44:34,2019-03-27 18:44:53,19.646s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 18:44:53,2019-03-27 18:44:59,5.056s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 18:44:59,2019-03-27 18:47:30,2m - 31.632s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 18:44:59,2019-03-27 18:45:04,5.098s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 18:45:04,2019-03-27 18:45:07,2.612s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 18:45:07,2019-03-27 18:45:08,1.846s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 18:45:08,2019-03-27 18:45:10,1.653s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 18:45:10,2019-03-27 18:47:30,2m - 20.137s,FAILED
