Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 18:16:36,2019-03-27 18:18:00,1m - 24.831s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 18:16:36,2019-03-27 18:17:02,25.771s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 18:16:37,2019-03-27 18:16:57,19.643s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 18:16:57,2019-03-27 18:17:02,5.088s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 18:17:02,2019-03-27 18:18:00,58.326s,ERROR
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 18:17:02,2019-03-27 18:17:05,2.596s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 18:17:05,2019-03-27 18:17:08,2.602s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 18:17:08,2019-03-27 18:17:08,0.807s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 18:17:08,2019-03-27 18:17:10,1.618s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 18:17:10,2019-03-27 18:18:00,50.311s,ERROR
