Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 18:27:35,2019-03-27 18:29:18,1m - 43.807s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 18:27:35,2019-03-27 18:28:01,26.412s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 18:27:36,2019-03-27 18:27:56,20.087s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 18:27:56,2019-03-27 18:28:01,5.065s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 18:28:01,2019-03-27 18:29:18,1m - 16.920s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 18:28:02,2019-03-27 18:28:06,4.474s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 18:28:06,2019-03-27 18:28:09,2.753s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 18:28:09,2019-03-27 18:28:11,1.436s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 18:28:11,2019-03-27 18:28:12,1.452s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 18:28:12,2019-03-27 18:29:18,1m - 6.378s,FAILED
