Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 18:31:14,2019-03-27 18:34:09,2m - 54.269s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 18:31:15,2019-03-27 18:31:39,24.051s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 18:31:15,2019-03-27 18:31:34,18.248s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 18:31:34,2019-03-27 18:31:39,5.045s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 18:31:39,2019-03-27 18:34:09,2m - 29.815s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 18:31:39,2019-03-27 18:31:43,3.654s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 18:31:43,2019-03-27 18:31:45,2.326s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 18:31:45,2019-03-27 18:31:47,1.259s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 18:31:47,2019-03-27 18:31:48,1.573s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 18:31:48,2019-03-27 18:34:09,2m - 20.436s,FAILED
