Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 18:22:19,2019-03-27 18:24:01,1m - 42.666s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 18:22:19,2019-03-27 18:22:52,32.253s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 18:22:21,2019-03-27 18:22:47,25.260s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 18:22:47,2019-03-27 18:22:52,5.053s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 18:22:52,2019-03-27 18:24:01,1m - 9.712s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 18:22:52,2019-03-27 18:22:55,3.304s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 18:22:55,2019-03-27 18:22:59,3.385s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 18:22:59,2019-03-27 18:23:00,1.652s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 18:23:00,2019-03-27 18:23:02,1.882s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 18:23:02,2019-03-27 18:24:01,59.046s,FAILED
