Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CBL Merchandising Data Verification,,,2019-03-27 18:24:56,2019-03-27 18:26:29,1m - 32.416s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2019-03-27 18:24:57,2019-03-27 18:25:23,26.894s,PASSED
"startApplication(""F:\QA_Automation\Builds\cbl_live_v1_130319.apk"", false)",,launch application,2019-03-27 18:24:58,2019-03-27 18:25:18,20.705s,PASSED
delay(5),,delay of 5 seconds,2019-03-27 18:25:18,2019-03-27 18:25:23,5.068s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2019-03-27 18:25:23,2019-03-27 18:26:29,1m - 5.050s,FAILED
"verifyElementText(findTestObject(""DashboardScreenElements/Validate_DashboardScreen"", [""package"":PACKAGENAME]), ""Dashboard"")",,validate the dashboard screen appearance,2019-03-27 18:25:24,2019-03-27 18:25:28,4.060s,PASSED
com.ct.qa.keywords.CommonKeywords.selectday(),,select current day,2019-03-27 18:25:28,2019-03-27 18:25:31,3.094s,PASSED
"tap(findTestObject(""DashboardScreenElements/StartYourDay"", [""package"":PACKAGENAME]), 0)",,tap on start your day button to further proceed,2019-03-27 18:25:31,2019-03-27 18:25:33,1.298s,PASSED
"verifyElementText(findTestObject(""Validate_ShopListScreen"", [""package"":PACKAGENAME]), ""Shops on Route"")",,Validate shops list screen appearance,2019-03-27 18:25:33,2019-03-27 18:25:34,1.673s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification(),,select shops from shops list for data verification,2019-03-27 18:25:34,2019-03-27 18:26:28,54.325s,FAILED
